Alternative,Subset,g1,g2,g3,g4,Class
a1,HS,55.6,123.17,0.29,30,Cl2
a2,SI,45.93,2,0,17,Cl1
a3,NJN,122.6,77.47,4.76,53.72,Cl3
a4,SI,64.37,973.93,2.02,92,Cl3
a5,SI,90.51,462.79,3.43,81,Cl3
a6,SI,125.4,744.85,4.01,100,Cl4
a7,SI,50.26,510.81,1.74,76,Cl2
a8,NZ,70.24,1126,24.28,100,Cl3
a9,SI,45.37,745.03,4.79,84,Cl2
a10,NJN,48.23,93.3,0.46,45.1,Cl2
a11,SI,94.11,1121,5.06,92,Cl4
a12,SI,129.78,1040.72,4.81,95,Cl4
a13,SI,89.31,1095.97,7.27,94,Cl3
a14,SI,88.92,747.85,4.26,85,Cl3
a15,SI,95.14,156.68,0.18,55,Cl3
a16,SI,108.41,717.24,13.26,50,Cl3
a17,SI,88.3,334.32,3.53,40,Cl2
a18,SI,53.08,403.03,13.72,79,Cl3
a19,HS,55.47,207.45,0.34,40,Cl3
a20,HS,42.99,196.2,0.06,33,Cl2
a21,HS,38.6,204.62,0.05,16,Cl1
a22,HS,23.57,0,0,5,Cl1
a23,HS,29.68,21.7,0,15,Cl2
a24,HS,25.17,14.57,0,15,Cl1
a25,NJN,30.42,29.79,0,18.4,Cl1
a26,SI,40.35,2.4,0,26,Cl1
a27,NJN,41.08,277.54,0,40.72,Cl2
a28,NJN,87.23,122.34,0.22,39.15,Cl2
a29,HS,37.59,95.27,0.21,25,Cl2
a30,TA,32.28,78.2,0.39,39,Cl2
a31,HS,45.68,932.57,0.55,70,Cl3
a32,HS,28.78,361.6,0.47,42,Cl1
a33,SI,37.76,167.01,9.16,58,Cl2
a34,HS,36.59,19.91,0.1,21,Cl1
a35,SI,42.15,171.38,4.38,59,Cl2
a36,SI,51.88,235.2,0.68,35,Cl2
a37,SI,51.48,119.49,0.84,55,Cl2
a38,SI,32.95,280.05,2.71,20,Cl1
a39,HS,45.59,248.76,1.84,15,Cl2
a40,NJN,48.22,63.33,1.54,43.38,Cl2
a41,SI,42.29,243.9,1.28,55,Cl2
a42,SI,36.17,367.16,2.95,83,Cl1
a43,TA,21.14,163,0.23,65,Cl2
a44,TA,21.05,304,0,55,Cl2
a45,TA,31.06,50.08,0,50,Cl2
a46,TA,27.58,110,0,25,Cl2
a47,TA,16,247,0,65,Cl2
a48,TA,13.21,255,0,55,Cl1
a49,TA,27.31,236.1,0,70,Cl3
a50,TA,30.52,343,0,45,Cl2
a51,TA,25.27,132,0,30,Cl2
a52,TA,32.65,405,0,65,Cl3
a53,TA,19.45,315,0,75,Cl2
a54,TA,36.18,176.36,0,55,Cl3
a55,TA,30.41,241,0,30,Cl2
a56,TA,20.51,91,0,45,Cl2
a57,TA,12.93,335,0,65,Cl1
a58,TA,38.52,138,0.49,70,Cl4
a59,TA,25.62,223,0.08,53,Cl2
a60,TA,32.74,411.38,0.26,80,Cl3
a61,TA,26.98,605.27,0.1,80,Cl3
a62,TA,22.16,360,0,45,Cl2
a63,TA,27.79,105.05,0.09,80,Cl2
a64,TA,15.96,372,0.02,60,Cl1
a65,TA,33.98,209,0,40,Cl3
a66,TA,19.73,585,0.08,70,Cl2
a67,TA,32.42,491.64,0.08,100,Cl3
a68,TA,23.22,59,0,15,Cl2
